,#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,source_is_th,destination_is_th
399,400,Dec 2017,#297857,F&N Investments,Fraser & Neave (Fraser and Neave),"Fraser and Neave, through its subsidiaries, operates in the food and beverage, property, publishing and printing industries. Additionally, it offers treasury and financial services, asset management, fund and property management and consultancy services. Fraser and Neave was founded in 1883 and is based in Singapore.",www.fraserandneave.com,1379.93,7700.0,,1883.0,,+6563189393,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,264,Yes,31.8,Yes,New,Opened,,,"Shwe Than Lwin Group, F&amp;N Investments",http://www.fraserandneave.com/docs/default-source/newsroom/2017/quarter-4/19dec17-incorporation-of-a-joint-venture-company-emerald-brewery-myanmar-ltd.pdf?sfvrsn=6,False,True,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,True,False
400,401,Dec 2017,#291501,Heineken,Heineken Holding,"Heineken Holding supervises the management of the Heineken group. The company was established in 1952 and is based in Amsterdam, the Netherlands.",www.heinekenholding.com,24460.0,0.0,,1952.0,,+31205239239,Western Europe,netherlands,West Netherlands,Noord-Holland,Amsterdam,Africa,mozambique,Maputo,Not Specified,Maputo,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,200,No,100.0,No,New,Opened,,,,https://www.foodbev.com/news/heineken-opens-first-brewery-in-mozambique-after-100m-spend/,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,True,False
413,414,Nov 2017,#290380,Sika Abyssinia Chemicals Manufacturing,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+251116182605,Western Europe,switzerland,Switzerland,Zug,Baar,Africa,ethiopia,Oromia,Not Specified,Alem Gena,,,Building materials,"Asphalt paving, roofing, & saturated materials",Construction,Manufacturing,18,No,7.9,Yes,New,Opened,,,,https://asokoinsight.com/news/sika-abyssinia-launches-new-manufacturing-plant-in-ethiopia,True,False,False,building_materials_asphalt_paving_roofing_and_saturated_materials_manufacturing,False,False,True,False
417,418,Nov 2017,#291581,International Workplace Group (Regus),International Workplace Group (Regus),"International Workplace Group (IWG), together with its subsidiaries, provides office outsourcing services. IWG offers its services to property owners and investors, franchisees, brokers, and customers under the Regus, Regus Express, Spaces, Signature, and Open Office brands. Effective October 14, 2008, Regus Group plc became Regus plc. Regus plc was created as a holding company for Regus Group plc, to establish the company's headquarters in Luxembourg, relocating from the UK. The company was formerly known as Regus before rebranding to IWG in December 2016. In December 2016, the company relocated its head office from Luxembourg to Switzerland. IWG was established in 1989 and is based in Zug, Switzerland.",www.iwgplc.com,2916.29,8240.0,,1989.0,communications@iwgplc.com,+447584376533,Western Europe,switzerland,Switzerland,Zug,Zug,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Real estate,Rental & leasing services,Professional Services,Business Services,8,Yes,1.9,Yes,New,Opened,,,,http://www.phnompenhpost.com/business/regus-opens-its-second-biz-centre,True,False,False,real_estate_rental_and_leasing_services_business_services,False,False,True,False
419,420,Nov 2017,#290038,SGS,SGS,"SGS is a multinational business solutions company which provides inspection, verification, testing and certification services. It has a network of more than 94,000 employees and operates 2600 offices and laboratories. SGS's core services can be divided into four categories. Inspection: SGS provides a comprehensive range of inspection and verification services to help to control quantity and quality, and meet all relevant regulatory requirements across different regions and markets. Testing: its global network of testing facilities, enable customers to reduce risks, shorten time to market and test the quality, safety and performance of products against regulatory standards. Certification: allows customers to demonstrate products, processes, systems or services are compliant with either national or international standards and regulations. Verification: ensures that products and services comply with global standards and local regulations. SGS was established in 1878 and is headquartered in Geneva, Switzerland.",www.sgs.com,6418.82,0.0,,1878.0,,+41227399111,Western Europe,switzerland,Switzerland,Geneve,Geneva,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Business services,"Professional, scientific & technical services","Wood, Apparel & Related Products",Research & Development,118,Yes,10.2,Yes,Expansion,Opened,,Global,,http://www.sgs.com/en/news/2017/11/sgs-expands-textile-and-footwear-testing-facilities-in-dhaka-bangladesh,True,False,False,business_services_professional_scientific_and_technical_services_research_and_development,False,False,True,False
424,425,Nov 2017,#297093,Nestle,Nestle,"Nestle provides nutrition, health, and wellness products worldwide. Its brands include Nestle Health Science, Nestle Nespresso, Nestle Purina Petcare and Nestle Waters. The company was founded in 1866 and is based in Vevey, Switzerland.",www.nestle.com,92196.44,0.0,1747.71,1866.0,,+41219241111,Western Europe,switzerland,Switzerland,Vaud,Vevey,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Food & Beverages,Other (Food & Beverages),Agribusiness,Manufacturing,79,Yes,25.0,No,New,Opened,,,,https://www.foodbusinessafrica.com/2017/11/25/nestle-myanmar-imports-to-reduce-by-50-once-new-factory-opens/,True,False,False,food_and_beverages_other_food_and_beverages_manufacturing,False,False,True,False
441,442,Oct 2017,#288069,Sika,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+41584366800,Western Europe,switzerland,Switzerland,Zug,Baar,Africa,angola,Luanda,Not Specified,Luanda,,,Chemicals,"Paints, coatings, additives & adhesives",Construction,Manufacturing,332,Yes,466.6,Yes,Expansion,Opened,"In this West African nation, the construction industry is receiving considerable impetus from major investments in infrastructure and in residential, industrial and commercial properties.",,,https://www.sika.com/en/group/Media/Mediareleases/2017/20171030_Angola.html,True,False,False,chemicals_paints_coatings_additives_and_adhesives_manufacturing,False,False,True,False
459,460,Sep 2017,#285582,Shining Star International Holdings,Shining Star International Holdings,"Shining Star International Holdings Limited, through its subsidiaries, engages in the business fields of real estate, commerce, hotel, education, health, decoration, sports, tourism, property management, etc. The company provides property management and business services; education investment and management, educational equipment and uniforms selling, and medical services; accommodation, hotel management, catering, and cigarette retail services; investment consulting and real estate development services; engineering management and supervision, technology consulting, and property management services; construction material selling and consulting services; and golf course construction and operation services. It also engages in the activities of business operation and management, exhibition, leashing, etc.; project investment and management, real estate development, import and export, etc.; interior decoration design and construction, landscaping design and construction, etc.; entertainment, apparatus selling, trade, etc.; real estate broker, business invitation, activity planning, etc.; real estate development and management of supporting facilities, gyms, etc.; and furniture production, management consulting, marketing plan, etc. The company was founded in 1993 and is headquartered in Hong Kong.",http://www.sinyaoo.com/,,,,1993.0,,+852087167375333,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,myanmar,Mandalay,Not Specified,Mandalay,Mandalay Industrial Zone,,Automotive OEM,Automobiles,Transport Equipment,Manufacturing,1062,Yes,37.0,Yes,New,Announced,,,,,False,True,False,automotive_oem_automobiles_manufacturing,False,False,True,False
494,495,Aug 2017,#283221,Diethelm Keller Siber Hegner (DKSH),Diethelm Keller Holding,"Diethelm Keller Holding, along with its subsidiaries, engages in marketing, brand management, logistics and travel businesses. The company provides sourcing, marketing, sales, distribution and aftersales services. It also offers marketing, brand building and distribution services for medium-sized enterprises. Diethelm Keller Holding was founded in 2000 as a result of a merger between Diethelm and Edward Keller. The company is headquartered in Zurich, Switzerland.",www.diethelmkeller.com,12160.0,0.0,,2000.0,,+41443867272,Western Europe,switzerland,Switzerland,Zurich,Zurich,Asia-Pacific,cambodia,Siem Reap,Not Specified,Siem Reap,,,Transportation & Warehousing,Freight/Distribution Services,Consumer Goods,"Logistics, Distribution & Transportation",151,Yes,89.9,Yes,Expansion,Opened,,,,,True,False,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,True,False
496,497,Aug 2017,#291670,Corlido Group,Corlido Group,"Netherlands-based Corlido Group specialises in procurement and supply chain management. Its remit includes operational buying, warehousing, logistics and all related administrative services and technical support. The company serves sectors ranging from education to oil and gas. Corlido Group was established in 1995 and is based in Emmen, the Netherlands.",www.corlido.nl,,0.0,,1995.0,info@corlido.nl,+31885360000,Western Europe,netherlands,North Netherlands,Drenthe,Emmen,Africa,chad,Chari-Baguirmi,Not Specified,N'Djamena,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",22,Yes,8.2,Yes,New,Opened,,,,https://www.corlido.nl/en/corlido-group-cameroon-chad-and-equatorial-guinea/,True,False,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,True,False
512,513,Jul 2017,#281435,Transsion Holdings (Tecno Telecom),Transsion Holdings (Tecno Telecom),"Transsion Holdings, formerly known as Tecno Telecom, engages in the research and development, production, sale, and service of mobile communication products. The firm was established in July 2006 and is based in Shenzhen, China. The company changed its name in the second half of 2013.",transsion.com/,7410.64,16100.0,,2006.0,hello@transsion.com,+8675533979200,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Communications,Communications equipment,ICT & Electronics,Manufacturing,1140,Yes,76.7,Yes,New,Opened,,,,,False,True,False,communications_communications_equipment_manufacturing,False,False,True,False
514,515,Jul 2017,#281017,Ontex,Ontex,"Ontex engages in the development, production, and sale of hygienic disposables worldwide. It offers a range of feminine hygiene products, such as sanitary towels, panty liners, and tampons; baby products, which include nappies and wipes; and incontinence products; and adult products, such as light inco, pull-ups, belt diaper, all in one, shaped pads, and bed protection. The company was established in 1979 and is based in Aalst, Belgium.",www.ontexglobal.com/,2206.58,9000.0,11.76,1979.0,,+3253333600,Western Europe,belgium,Flemish Region (Flanders),East Flanders,Buggenhout,Africa,ethiopia,"Southern Nations, Nationalities, and Peoples Region",Not Specified,Awasa,,,"Paper, printing & packaging",Converted paper products,Consumer Goods,Manufacturing,171,Yes,48.4,Yes,New,Opened,,Africa,,,True,False,False,paper_printing_and_packaging_converted_paper_products_manufacturing,False,False,True,False
517,518,Jul 2017,#327969,Tribe Theory,Tribe Theory,"Tribe Theory develops business-friendly hostel accommodation, designed to cater to the travelling startups, creative and entrepreneurial community. It was founded in 2018 and is based in Singapore.",tribetheory.com,,,,2018.0,contact@tribetheory.com,,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Hotels & tourism,Accommodation,Tourism,Construction,263,Yes,179.0,Yes,New,Opened,,,,https://e27.co/hostel-startup-tribe-theory-secures-us739165-seed-funding-from-aurum-investments-20190314/,False,True,False,hotels_and_tourism_accommodation_construction,False,False,True,False
521,522,Jun 2017,#279142,SC Auto,SC Auto,SC Auto is a bus manufacturer. The company is headquartered in Singapore and was founded in 1998.,www.scauto.com.sg,,,,1998.0,,+6567582222,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Automotive OEM,Heavy duty trucks,Transport Equipment,Manufacturing,115,Yes,21.8332,No,New,Announced,"Chairperson Tan Siow Chua said: ""With its demand for public transport, proximity to emerging south-east Asian countries, as well as availability of land and relatively lower labour costs, Myanmar is the ideal location for our first venture overseas.""",Mynamar and south-east Asia,,,False,True,False,automotive_oem_heavy_duty_trucks_manufacturing,False,False,True,False
529,530,Jun 2017,#297090,Bok Seng Logistics,Bok Seng Logistics,Bok Seng Logistics is a provider of total logistics services including integrated logistics management and project logistics management. The company was founded in 1975 and is based in Singapore.,www.bokseng-ipl.com,,,,1975.0,info@bokseng-ipl.com,+6564161999,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Myanmar,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",151,Yes,78.5,Yes,New,Announced,,,"Bok Seng Logistics, Ayeyar Hinthar Group",https://www.charltonsmyanmar.com/ifc-assisting-ysx-listed-firms-implement-enhanced-information-disclosure/,False,True,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,True,False
538,539,Jun 2017,#278953,Sika,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+41584366800,Western Europe,switzerland,Switzerland,Zug,Baar,Africa,tanzania,Dar es Salaam,Not Specified,Dar es Salaam,,,Chemicals,"Paints, coatings, additives & adhesives",Construction,Manufacturing,332,Yes,276.3,Yes,New,Opened,"""By establishing a new concrete admixtures and mortar production plant in the metropolis of Dar es Salaam, we are gaining an early foothold as a local producer in this growth market,"" said Paul Schuler, regional manager (EMEA). Forecasts indicate that the Tanzanian construction sector is set to grow by just under 7% in 2017 and by 8% a year in the period up to 2025.",,,,True,False,False,chemicals_paints_coatings_additives_and_adhesives_manufacturing,False,False,True,False
542,543,Jun 2017,#295822,FBS Markets,FBS Markets,FBS Markets is a Belize-registered Forex broker which was founded in 2009. It is headquartered in Belmopan and focuses mostly on clients in Asia.,www.fbs.com,,,,2009.0,support@fbs.com,,Latin America & Caribbean,belize,Cayo District,Not Specified,Belmopan,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,https://fbs.com/news/fbs-new-office-19-06-2017-1361,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,True,False
561,562,May 2017,#297497,Capillary Technologies,Capillary Technologies,"Capillary Technologies offers a customer analytics-driven integrated marketing platform that provides omni-channel solutions for retailers worldwide. It provides cloud-based software solutions that enable retail marketers to build, manage, and analyse customer data to gather deep insights and personalise customer engagement across social media, mobile, e-mail, online, and in-store channels. The company offers intelligent customer engagement suite of products through the customer engagement management platform. The company was founded in 2008 and is based in Singapore, having relocated from Bangalore, India in July 2012.",capillarytech.com,,,,2008.0,,+6531576448,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,bangladesh,Dhaka,Not Specified,Dhaka,,,Software & IT services,"Software publishers, except video games",Retail Trade,"Sales, Marketing & Support",39,Yes,6.7,Yes,New,Opened,,,,https://www.capillarytech.com/contact,False,True,False,software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,False,False,True,False
562,563,May 2017,#297106,F&N Investments,Fraser & Neave (Fraser and Neave),"Fraser and Neave, through its subsidiaries, operates in the food and beverage, property, publishing and printing industries. Additionally, it offers treasury and financial services, asset management, fund and property management and consultancy services. Fraser and Neave was founded in 1883 and is based in Singapore.",www.fraserandneave.com,1379.93,7700.0,,1883.0,,+6563189393,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Not Specified,Not Specified,Not Specified,,,Financial services,Corporate & investment banking,Financial Services,Business Services,60,Yes,30.6,Yes,New,Opened,,,,http://www.fraserandneave.com/docs/default-source/newsroom/2017/quarter-2/5may17-incorporation-fn-myanmar-services-limited.pdf?sfvrsn=4,False,True,False,financial_services_corporate_and_investment_banking_business_services,False,False,True,False
563,564,May 2017,#297934,AIA Group (American International Assurance),AIA Group (American International Assurance),"AIA Group Limited provides various products and services for insurance, protection, savings, investment, and retirement needs of individuals and businesses. It offers life, pensions, and accident and health insurance products; savings and investment products; wealth management solutions; and employee benefits, credit insurance, and retirement services. The company distributes its products and services through direct marketing, agents, and bancassurance relationships primarily in Hong Kong, Thailand, Singapore, Malaysia, China, Korea, the Philippines, Indonesia, Vietnam, India, Australia, New Zealand, and Taiwan. American International Assurance was founded in 1919 and is headquartered in Central, Hong Kong.",www.aia.com,46780.0,23980.0,,1919.0,corpcomms@aia.com,+85228321800,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",240,Yes,43.5,Yes,New,Opened,"""We believe that Cambodia holds great potential as a life insurance market with its young and growing population, solid economic growth, expanding middle class and very low penetration rate of private life coverage."" - Ng Keng Hooi, chief executive officer.",,,http://www.aia.com/en/media-centre/press-releases/2017/aia-group-press-release-5-may-2017.html,False,True,False,financial_services_insurance_sales_marketing_and_support,False,False,True,False
565,566,May 2017,#363548,Pulse Africa,Ringier,"Ringier is a media group in Switzerland, founded in 1833 in Zofingen and based in Zurich, Switzerland.",www.ringier.ch,1037.91,0.0,,1833.0,info@pulse.co.ke,+254714928113,Western Europe,switzerland,Switzerland,Zurich,Zurich,Africa,senegal,Dakar,Not Specified,Dakar,,,Business services,"Newspaper, periodical, book, & directory publishers",Creative Industries,Business Services,32,Yes,21.6,Yes,New,Opened,,,,https://www.africanews.com/2020/05/19/pulse-expands-its-reach-into-francophone-africa-with-the-launch-of-pulsesn-in-senegal/,True,False,False,business_services_newspaper_periodical_book_and_directory_publishers_business_services,False,False,True,False
578,579,Apr 2017,#297115,Soilbuild Group,Soilbuild Group,"Soilbuild Group engages in constructing, developing, and managing residential and business space properties. The company focuses on designing, building, and leasing/selling real estate products. Soilbuild Group was founded in 1976 and is headquartered in Singapore.",www.soilbuild.com,,,,1976.0,enquiries@soilbuild.com,+6565422882,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,myanmar,Rangoon (Yangon),Not Specified,Rangoon (Yangon),,,Real estate,Commercial & institutional building construction,Construction,"Sales, Marketing & Support",75,Yes,20.5,Yes,New,Opened,,,,http://www.soilbuildconstruction.com/Announcements/Incorporation-of-a-WhollyOwned-Subsidiary-in-Myanmar-270,False,True,False,real_estate_commercial_and_institutional_building_construction_sales_marketing_and_support,False,False,True,False
580,581,Apr 2017,#276679,Sika,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,9720.89,25000.0,210.62,1910.0,,+41584366800,Western Europe,switzerland,Switzerland,Zug,Baar,Africa,senegal,Not Specified,Not Specified,Not Specified,,,Chemicals,"Paints, coatings, additives & adhesives",Construction,Manufacturing,332,Yes,276.3,Yes,New,Opened,"""We are positioning ourselves early in emerging markets such as Senegal. Large-scale investment projects in infrastructure, transport, energy and water combined with recently discovered oil reserves will contribute to this emerging country's development,"" said Paul Schuler, regional manager (Europe, Middle East, Africa). Senegal's economy has grown by over 5% on average in the past three years. According to latest forecasts, the economic growth of the country is expected to increase by 6.5% this year.",,,https://www.sika.com/en/group/Media/Mediareleases/2018/FactoryinSenegalstartsoperation.html,True,False,False,chemicals_paints_coatings_additives_and_adhesives_manufacturing,False,False,True,False
583,584,Mar 2017,#273133,WISeKey,WISeKey,"WISeKey is an Internet security company which provides technologies for digital identities of people, objects, mobiles, personal clouds and authentication to secure communications and transactions. The company was founded in 1999 and is based in Geneva, Switzerland.",www.wisekey.com,53.0,0.0,,1999.0,info@wisekey.com,+41225943000,Western Europe,switzerland,Switzerland,Geneve,Geneva,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Software & IT services,"Software publishers, except video games",Financial Services,Research & Development,142,Yes,53.7,Yes,New,Announced,,Africa,,,True,False,False,software_and_it_services_software_publishers_except_video_games_research_and_development,False,False,True,False
591,592,Mar 2017,#273097,VicPlas International,VicPlas International,"Vicplas International, an investment holding company, researches, designs, develops, manufactures, and assembles medical devices. It operates through two segments, pipes and pipe fittings, and medical devices. Vicplas International was founded in 1993 and is based in Singapore.",www.vicplas.com,53.88,,,1993.0,,+6562623888,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Not Specified,Not Specified,Not Specified,,,Plastics,"Plastic pipes, pipe fitting & unlaminated profile shapes",Industrial,Manufacturing,81,Yes,34.4,Yes,New,Announced,,,,,False,True,False,plastics_plastic_pipes_pipe_fitting_and_unlaminated_profile_shapes_manufacturing,False,False,True,False
592,593,Mar 2017,#276669,Frasers Hospitality,Fraser & Neave (Fraser and Neave),"Fraser and Neave, through its subsidiaries, operates in the food and beverage, property, publishing and printing industries. Additionally, it offers treasury and financial services, asset management, fund and property management and consultancy services. Fraser and Neave was founded in 1883 and is based in Singapore.",www.fraserandneave.com,1379.93,7700.0,,1883.0,,+6562700800,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Africa,democratic_republic_of_congo,Not Specified,Not Specified,Not Specified,,,Real estate,Residential building construction,Construction,Construction,656,Yes,640.9,Yes,New,Announced,,,,,False,True,False,real_estate_residential_building_construction_construction,False,False,True,False
604,605,Mar 2017,#275351,Cambodia Brewery,Heineken Holding,"Heineken Holding supervises the management of the Heineken group. The company was established in 1952 and is based in Amsterdam, the Netherlands.",www.heinekenholding.com,24460.0,0.0,,1952.0,,+185523722683,Western Europe,netherlands,West Netherlands,Noord-Holland,Amsterdam,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,317,Yes,100.0,No,New,Opened,,,,,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,True,False
619,620,Feb 2017,#272907,Banglalink Digital Communications,VEON (VimpelCom),"Veon, a communications and technology company, through its subsidiaries, provides mobile and fixed-line telecommunications services. The company offers its services under the Beeline, Kyivstar, anglalink, Jazz, and Djezzy brands. The company was formerly known as VimpelCom and changed its name to Veon in March 2017. Veon was founded in 1992 and is headquartered in Amsterdam, the Netherlands.",veon.com,8298.75,43639.0,,1992.0,info@banglalinkgsm.com,+8801911304111,Western Europe,netherlands,West Netherlands,Noord-Holland,Amsterdam,Asia-Pacific,bangladesh,Not Specified,Not Specified,Not Specified,,,Communications,Wired telecommunication carriers,ICT & Electronics,ICT & Internet Infrastructure,37,Yes,100.0,No,Expansion,Announced,,,,,True,False,False,communications_wired_telecommunication_carriers_ict_and_internet_infrastructure,False,False,True,False
625,626,Feb 2017,#276090,Meinhardt,Meinhardt,"Meinhardt, through its subsidiaries, offers engineering, planning, and management consultancy services. The company is based in Singapore.",www.meinhardtgroup.com,64.11,0.0,,1955.0,info@meinhardt.com.sg,+6562735255,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Africa,rwanda,Kigali Province,Not Specified,Kigali,,,Business services,Heavy & civil engineering,Industrial,Business Services,32,Yes,21.6,Yes,New,Announced,,,,,False,True,False,business_services_heavy_and_civil_engineering_business_services,False,False,True,False
629,630,Feb 2017,#271988,AnyMind Group (AdAsia Holdings),AnyMind Group (AdAsia Holdings),"AnyMind Group, formerly known as AdAsia Holdings, is an advertising company. It offers digital marketing platform, digital strategy, video production/advertising, advanced TV advertising, mobile marketing, social media marketing, influencer marketing, cloud CRM, O2O, omni channel marketing, global marketing and marketing automation services. It was founded in 2016 and is based in Singapore.",adasiaholdings.com,26.0,0.0,,2016.0,press@adasiaholdings.com,+6568092111,Asia-Pacific,singapore,Singapore,Singapore,Singapore,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Software & IT services,"Software publishers, except video games",Creative Industries,"Sales, Marketing & Support",39,Yes,6.7,Yes,New,Opened,"""In the past year there has been a rise in mobile device and social media usage, along with mobile broadband penetration in Cambodia. Our offerings including Parallax, CastingAsia and other mobile solutions, will allow us to enable marketers to capture users in a fast-emerging market."" - Kosuke Sogo, chief executive officer.",,,,False,True,False,software_and_it_services_software_publishers_except_video_games_sales_marketing_and_support,False,False,True,False
641,642,Feb 2017,#273359,Zambian Breweries Plc,Anheuser-Busch InBev (AB InBev),"Anheuser-Busch InBev, also known as Ab InBev, is a brewing company. It engages in the production, marketing, and distribution of beer in Latin America, North America, Europe and Asia-Pacific. It offers a portfolio of approximately 200 beer brands. The company's global brands include Budweiser, Stella Artois, and Beck's; multi-country brands consist of Leffe and Hoegaarden; and local brands comprise Bud Light, Michelob, Skol, Brahma, Antarctica, Quilmes, Jupiler, Hasseroder, Klinskoye, Sibirskaya Korona, Chernigivske, Harbin and Sedrin. Established in 1366, the company is headquartered in Leuven, Belgium.",www.ab-inbev.com,54300.0,169340.0,,1366.0,,+255764702905,Western Europe,belgium,Flemish Region (Flanders),Flemish Brabant,Leuven,Africa,zambia,Lusaka Province,Not Specified,Lusaka,Lusaka South Multi-Facility Economic Zone,,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,255,Yes,54.2,Yes,Expansion,Opened,"Following the government's decision in the 2016 Budget to reduce excise duty on clear beer from 60 to 40%, Zambian Breweries has now decided to package Castle Lite locally.",,,,True,False,False,food_and_beverages_breweries_and_distilleries_manufacturing,False,False,True,False
643,644,Feb 2017,#297960,Zuellig Pharma (Cambodia),Zuellig Group,"The Zuellig Group operates healthcare, agribusiness, and agricultural and materials handling equipment businesses in the Asia-Pacific region. It provides inventory management, warehousing, distribution, customer order management, clinical trial logistics, patient-based solutions, and retail management assistance to doctors, hospitals, pharmacies, and clinics; offers pharmaceutical wholesaling and retail management solutions for community pharmacies; provides retail pharmacy software solutions; offers pharmaceutical distribution services to public and private hospitals; and provides clinical trials logistics support and speciality contract logistics services for healthcare manufacturers. The company was founded in 1912 and is based in Wan Chai, Hong Kong.",www.zuellig.com,,0.0,,1912.0,,+855214017,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Transportation & Warehousing,Freight/Distribution Services,Life sciences,"Logistics, Distribution & Transportation",151,Yes,89.9,Yes,Expansion,Opened,Strategically located 10 minutes from the Phnom Penh airport.,,,https://www.zuelligpharma.com/news/zuellig-pharma-cambodia-expands-distribution-centre-opens-new-commercial-branch,False,True,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,True,False
644,645,Feb 2017,#297961,Zuellig Pharma (Cambodia),Zuellig Group,"The Zuellig Group operates healthcare, agribusiness, and agricultural and materials handling equipment businesses in the Asia-Pacific region. It provides inventory management, warehousing, distribution, customer order management, clinical trial logistics, patient-based solutions, and retail management assistance to doctors, hospitals, pharmacies, and clinics; offers pharmaceutical wholesaling and retail management solutions for community pharmacies; provides retail pharmacy software solutions; offers pharmaceutical distribution services to public and private hospitals; and provides clinical trials logistics support and speciality contract logistics services for healthcare manufacturers. The company was founded in 1912 and is based in Wan Chai, Hong Kong.",www.zuellig.com,,0.0,,1912.0,,+855214017,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Asia-Pacific,cambodia,Phnom Penh,Not Specified,Phnom Penh,,,Transportation & Warehousing,Freight/Distribution Services,Life sciences,"Sales, Marketing & Support",30,Yes,51.6,Yes,New,Opened,"""Its location in the city centre ensures easy access to our clients and customers."" - Jean-Gaetan Guillemaud, country manager, Zuellig Pharma (Cambodia).",,,https://www.zuelligpharma.com/news/zuellig-pharma-cambodia-expands-distribution-centre-opens-new-commercial-branch,False,True,False,transportation_and_warehousing_freightdistribution_services_sales_marketing_and_support,False,False,True,False
